"participant_id","pilotNumber","demo_gend","demo_educ","demo_occu","demo_reve","demo_degre","demo_cours","demo_lsat","demo_age","spanLength","treatment","isLotteryFirst","completionCountLottery","completionCountMirror","wrongAnswerCountLottery","wrongAnswerCountMirror","noSwitchCounter","noSwitchCounterFirstPart","noSwitchCounterSecondPart","noSwitchCounterLottery","noSwitchCounterMirror","payment_spanMpl","payment_spanSpan","payment_calibration","payment_total","mplType","mirror_ev","mirror_rtChoice","mirror_subBlockNumber","mirror_accuracy","mirror_rtSpanMpl","mirror_EGEmpirical","mirror_noSwitch","mirror_noSwitchSure","mirror_noSwitchLottery","lottery_ev","lottery_rtChoice","lottery_subBlockNumber","lottery_accuracy","lottery_rtSpanMpl","lottery_EGEmpirical","lottery_noSwitch","lottery_noSwitchSure","lottery_noSwitchLottery","mirror_position","lottery_position","pred","prob","multiplier","aboveMedRtChoice","aboveMedImpactCogLoad"
"3qw702xoocj0eg2",3,"Femme","Diplôme d'études tertiaires (ex.: BTS, DUT)","Employé·e à temps plein (35h ou plus par semaine)","Entre 1500 € et 2000 €","Non","Non","8",40,7,"easy",TRUE,1,2,0,3,5,0,5,0,5,3.3,1,0.5,10.8,"G10",2.9,10340.7000000002,8,1,1766,7.67777777777778,0,0,0,1.9,14740.3999999999,1,1,1909.80000000028,7.65,0,0,0,"low","low",2.5,10,1,0,0
"3qw702xoocj0eg2",3,"Femme","Diplôme d'études tertiaires (ex.: BTS, DUT)","Employé·e à temps plein (35h ou plus par semaine)","Entre 1500 € et 2000 €","Non","Non","8",40,7,"easy",TRUE,1,2,0,3,5,0,5,0,5,3.3,1,0.5,10.8,"G25",3.9,7455.30000000028,9,1,1718.5,10.6361111111111,0,0,0,4.9,7776.60000000009,5,1,2270.10000000009,11.15,0,0,0,"low","low",6.3,25,1,0,0
"3qw702xoocj0eg2",3,"Femme","Diplôme d'études tertiaires (ex.: BTS, DUT)","Employé·e à temps plein (35h ou plus par semaine)","Entre 1500 € et 2000 €","Non","Non","8",40,7,"easy",TRUE,1,2,0,3,5,0,5,0,5,3.3,1,0.5,10.8,"G50",9.9,7032.20000000019,11,1,1838,16.65,0,0,0,10.1,6820.10000000009,12,1,2262.19999999972,16.7888888888889,0,0,0,"low","low",12.5,50,-1,0,0
"3qw702xoocj0eg2",3,"Femme","Diplôme d'études tertiaires (ex.: BTS, DUT)","Employé·e à temps plein (35h ou plus par semaine)","Entre 1500 € et 2000 €","Non","Non","8",40,7,"easy",TRUE,1,2,0,3,5,0,5,0,5,3.3,1,0.5,10.8,"G75",16.3,6001.79999999981,3,1,2077.89999999991,23.0416666666667,0,0,0,16.3,8100.89999999991,7,1,2134,23.0416666666667,0,0,0,"low","low",18.7,75,-1,0,0
"3qw702xoocj0eg2",3,"Femme","Diplôme d'études tertiaires (ex.: BTS, DUT)","Employé·e à temps plein (35h ou plus par semaine)","Entre 1500 € et 2000 €","Non","Non","8",40,7,"easy",TRUE,1,2,0,3,5,0,5,0,5,3.3,1,0.5,10.8,"G90",20.1,16681.3999999999,10,1,1725.89999999991,26.9,1,1,0,20.3,5978.30000000028,9,1,2797.79999999981,27.0277777777778,0,0,0,"low","low",22.5,90,-1,0,0
"3qw702xoocj0eg2",3,"Femme","Diplôme d'études tertiaires (ex.: BTS, DUT)","Employé·e à temps plein (35h ou plus par semaine)","Entre 1500 € et 2000 €","Non","Non","8",40,7,"easy",TRUE,1,2,0,3,5,0,5,0,5,3.3,1,0.5,10.8,"L10",-1.3,16499.1999999997,2,1,1974.10000000009,28.1,0,0,0,-3.5,8010.5,3,1,1718,28.1611111111111,0,0,0,"high","high",-2.5,10,-1,0,0
"3qw702xoocj0eg2",3,"Femme","Diplôme d'études tertiaires (ex.: BTS, DUT)","Employé·e à temps plein (35h ou plus par semaine)","Entre 1500 € et 2000 €","Non","Non","8",40,7,"easy",TRUE,1,2,0,3,5,0,5,0,5,3.3,1,0.5,10.8,"L25",-5.5,7926.60000000009,5,1,1814.20000000019,24.575,0,0,0,-7.1,6840.60000000009,8,1,2253.89999999991,24.5527777777778,0,0,0,"high","high",-6.3,25,-1,0,0
"3qw702xoocj0eg2",3,"Femme","Diplôme d'études tertiaires (ex.: BTS, DUT)","Employé·e à temps plein (35h ou plus par semaine)","Entre 1500 € et 2000 €","Non","Non","8",40,7,"easy",TRUE,1,2,0,3,5,0,5,0,5,3.3,1,0.5,10.8,"L50",-10.1,12011.5,1,1,1941.79999999981,17.7888888888889,0,0,0,-10.1,13529.7000000002,10,1,2390.70000000019,17.7888888888889,0,0,0,"high","high",-12.5,50,1,0,0
"3qw702xoocj0eg2",3,"Femme","Diplôme d'études tertiaires (ex.: BTS, DUT)","Employé·e à temps plein (35h ou plus par semaine)","Entre 1500 € et 2000 €","Non","Non","8",40,7,"easy",TRUE,1,2,0,3,5,0,5,0,5,3.3,1,0.5,10.8,"L75",-16.3,8712.70000000019,6,1,1694.30000000028,11.3916666666667,0,0,0,-18.3,14228.3999999999,6,1,2222.30000000028,12.1972222222222,0,0,0,"high","high",-18.7,75,1,0,0
"3qw702xoocj0eg2",3,"Femme","Diplôme d'études tertiaires (ex.: BTS, DUT)","Employé·e à temps plein (35h ou plus par semaine)","Entre 1500 € et 2000 €","Non","Non","8",40,7,"easy",TRUE,1,2,0,3,5,0,5,0,5,3.3,1,0.5,10.8,"L90",-20.1,5823.30000000028,7,1,1758.40000000037,7.5,1,0,1,-23.5,30002.1000000001,2,1,2932.70000000019,8.16111111111111,0,0,0,"high","high",-22.5,90,1,0,0
