sep=,
session,mirrorFirst,ID,boxes,imistake,pred,prob,type,taskName,CR1,CR2,CR3,sex,major,math,economics,cuM,cuL,precisionL,precisionM,similarity,attnBoxL,attnBoxM,attnPayL,attnPayM,repeated,mirror,lottery,r_mirror,r_lottery,time_mirror,time_lottery,time_r_mirror,time_r_lottery,noiseL,noiseM,noise,elicitation,multiplier,treatment
0,TRUE,1070416854,100,TRUE,0,50,A,A10,4 days,20,"$7,000",Male,Science/Engineering,Two or more university-level courses,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,11,0,0,32.20000000000019,27.800000000000125,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1070416854,100,TRUE,0,50,A,A15,4 days,20,"$7,000",Male,Science/Engineering,Two or more university-level courses,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,15,0,0,25.800000000000097,55.300000000000516,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1070416854,100,TRUE,2.5,10,G,G10,4 days,20,"$7,000",Male,Science/Engineering,Two or more university-level courses,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.5,2.5,0,0,25.30000000000009,46.100000000000385,NA,NA,0,0,0,MPL,1,student
0,TRUE,1070416854,100,TRUE,6.5,25,G,G25,4 days,20,"$7,000",Male,Science/Engineering,Two or more university-level courses,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6.5,6.5,0,0,10.09999999999998,29.700000000000152,NA,NA,0,0,0,MPL,1,student
0,TRUE,1070416854,100,TRUE,12.5,50,G,G50,4 days,20,"$7,000",Male,Science/Engineering,Two or more university-level courses,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.5,12.5,0,0,23.90000000000007,28.90000000000014,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1070416854,100,TRUE,18.5,75,G,G75,4 days,20,"$7,000",Male,Science/Engineering,Two or more university-level courses,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18.5,18.5,0,0,48.200000000000415,18.699999999999996,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1070416854,100,TRUE,22.5,90,G,G90,4 days,20,"$7,000",Male,Science/Engineering,Two or more university-level courses,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22.5,22.5,0,0,14.499999999999964,13.199999999999969,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1070416854,100,TRUE,-2.5,10,L,L10,4 days,20,"$7,000",Male,Science/Engineering,Two or more university-level courses,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.5,-2.5,0,0,12.299999999999972,11.399999999999975,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1070416854,100,TRUE,-6.5,25,L,L25,4 days,20,"$7,000",Male,Science/Engineering,Two or more university-level courses,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-6.5,-6.5,0,0,40.70000000000031,25.600000000000094,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1070416854,100,TRUE,-12.5,50,L,L50,4 days,20,"$7,000",Male,Science/Engineering,Two or more university-level courses,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-12.5,-12.5,0,0,12.099999999999973,9.499999999999982,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1070416854,100,TRUE,-18.5,75,L,L75,4 days,20,"$7,000",Male,Science/Engineering,Two or more university-level courses,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-18.5,-18.5,0,0,16.29999999999996,40.80000000000031,NA,NA,0,0,0,MPL,1,student
0,TRUE,1070416854,100,TRUE,-22.5,90,L,L90,4 days,20,"$7,000",Male,Science/Engineering,Two or more university-level courses,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-22.5,-22.5,0,0,141.39999999999625,12.99999999999997,NA,NA,0,0,0,MPL,1,student
